@relation Dataset_T2_16d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute original_ngtdm_Coarseness numeric
@attribute wavelet_HLL_glrlm_LongRunEmphasis numeric
@attribute wavelet_HLL_glcm_Correlation numeric
@attribute wavelet_HLL_glrlm_ShortRunEmphasis numeric
@attribute original_glszm_LowGrayLevelZoneEmphasis numeric
@attribute wavelet_HLL_glcm_InverseVariance numeric
@attribute original_glszm_SizeZoneNonUniformityNormalized numeric
@attribute wavelet_LLH_glcm_Correlation numeric
@attribute wavelet_HLL_glcm_DifferenceAverage numeric
@attribute wavelet_LLH_glcm_InverseVariance numeric
@attribute wavelet_HLL_glrlm_RunEntropy numeric
@attribute wavelet_HLL_glrlm_RunVariance numeric
@attribute wavelet_LLH_glrlm_RunEntropy numeric
@attribute wavelet_LLH_glcm_Imc2 numeric
@attribute label {0,1}

@data
0.599913,0.638653,1,0.34067,0.657201,0.429964,1,0.351664,1,0.263294,0.351453,0.731999,0.598274,0.326451,0.215165,0.177977,0
0.288579,0.803428,1,0.817425,0.816792,0.128263,1,0.202125,1,0.235572,0.202004,0.739071,0.738531,0.808488,0.235419,0.150575,1
0.362713,0.761355,0.000001,0.69846,0.776703,0.192165,0.557421,0.24129,0.454955,0.266296,0.241145,0.686743,0.703798,0.686128,0.27769,0.184804,1
0.343181,0.779047,1,0.728487,0.743081,0.201589,1,0.247644,1,0.226664,0.272208,0.763977,0.784577,0.723682,0.265245,0.133938,1
0.609878,0.606702,0,0.426152,0.574486,0.447173,0.557421,0.402941,0.454955,0.186022,0.431632,0.790447,0.640138,0.472012,0.22296,0.087091,1
0.470609,0.705517,0,0.440412,0.653436,0.367132,0.225487,0.309412,0.080236,0.299828,0.345129,0.660571,0.690188,0.417281,0.257332,0.226305,1
0.523379,0.691911,0,0.508838,0.707799,0.424519,0.409894,0.278026,0.273273,0.205954,0.277859,0.792885,0.680399,0.520933,0.20867,0.22383,0
0.566153,0.670201,0.000001,0.431254,0.685546,0.42934,0.557421,0.311212,0.454955,0.197152,0.311025,0.79768,0.674693,0.408291,0.215557,0.140431,0
0.555677,0.676468,1,0.510757,0.690984,0.452017,1,0.312279,1,0.227094,0.312092,0.767583,0.686417,0.545748,0.267727,0.115082,0
0.57736,0.664224,1,0.448587,0.67888,0.471262,1,0.328597,1,0.243264,0.3284,0.751313,0.673254,0.461411,0.261326,0.141138,0
0.644583,0.60765,1,0.380441,0.630075,0.521915,1,0.361381,1,0.251112,0.361164,0.724555,0.615788,0.403591,0.257464,0.164868,0
0.923438,0.048465,0,0.02631,0.030675,0.962874,0.203358,0.974932,0.14973,0.759659,0.975872,0.254009,0.031241,0.027806,0.631652,0.760092,0
0.890815,0.081926,0,0.059733,0.039767,0.922084,0.241293,0.964011,0.065637,0.879505,0.970158,0.136549,0.060398,0.033413,0.783569,0.883775,0
0.897568,0.06434,0,0.101147,0.040097,0.947731,0.164017,0.968327,0.118507,0.967483,0.969786,0.049768,0.075263,0.089272,0.903019,0.970683,0
0.895404,0.1009,0,0.060873,0.00528,0.98548,0.188605,1,0.137012,0.86413,1,0.153576,0.022157,0.050135,0.754758,0.866321,0
