@relation Dataset_T2_16d_PCA_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute label {0,1}

@data
0.165224,0.643096,0.288178,0.368893,0.426276,0.417354,0.728117,0.493653,0.492332,0.526959,0.90579,0.728707,0.541148,0.411763,0.505801,0.510999,0
0.073483,0.505905,0.253792,0.366504,0.506411,0.384011,0.593152,0.411861,0.270175,0.58525,0.482933,0.584966,0.674568,0.282502,0.440158,0.430372,0
0.143342,0.563604,0.297076,0.397885,0.372397,0.545686,0.740704,0.390183,0.299152,0.478507,0.490746,0.831915,0.663308,0.32175,0.707217,0.415624,0
0.357757,0.804968,0.487921,0.315673,0.426397,0.517291,0.933978,0.05721,0.571006,0.694267,0.493203,0.542247,0.547868,0.428869,0.459005,0.425303,1
0.329271,0.823624,0.42747,0.36051,0.427893,0.411521,1,0.283366,0.534368,0.712425,0.566556,0.569274,0.810281,0.363969,0.589634,0.53041,1
0.236394,0.708098,0.349824,0.340123,0.39169,0.422386,0.836065,0.328494,0.713718,0.601581,0.820776,0.603679,0.927834,0.380594,0.609401,0.402148,1
0.100956,0.508824,0.403717,0.237053,0.297668,0.210087,0.763972,0.382566,0.805883,0.289301,0.850812,0.668255,0.360186,0.299077,0.725536,0.525201,1
0.176627,0.661605,0.431255,0.213922,0.488694,0.118862,0.558681,0.3548,0.698682,0.649536,0.449333,0.763305,0.342886,0.633454,0.783978,0.673369,1
0.373613,0.964368,0.245452,0.534839,0.484593,0.519464,0.737269,0.653831,0.550359,0.016945,0.175662,0.689457,0.367876,0.276334,0.563223,0.477738,0
0.350172,0.937033,0.244481,0.492447,0.495576,0.531172,0.635709,0.88923,0.542835,0.095251,0.256154,0.710517,0.392339,0.247431,0.564006,0.522577,0
0.332733,0.938416,0.204255,0.601466,0.467366,0.425202,0.748935,0.993953,0.551334,0.18736,0.468936,0.676556,0.529264,0.402586,0.680782,0.447874,0
0.306866,0.897413,0.233479,0.505576,0.619042,0.29017,0.581476,0.862085,0.408397,0.446086,0.259185,0.669075,0.406496,0.826746,0.682387,0.439956,0
0.288684,0.885711,0.329773,0.438276,0.684672,0.338026,0.630666,0.956411,0.458508,0.430789,0.308786,0.696094,0.440301,0.543942,0.628432,0.045927,0
0.375984,0.8019,0.285038,0.457715,0.274768,0.556874,0.495246,0.444703,0.678467,0.64045,0.587111,0.508566,0.524606,0.322418,0.730359,0.154381,0
0.367716,0.79113,0.338302,0.418261,0.300861,0.587838,0.527118,0.501935,0.534787,0.726554,0.667682,0.540089,0.522973,0.236997,0.835894,0.142707,0
0.262541,0.686326,0.153459,0.573888,0.206146,0.610986,0.300524,0.638498,0.49013,0.527611,0.452338,0.56432,0.721407,0.222962,0.591221,0.208218,0
0.199451,0.61113,0.196704,0.500291,0.229408,0.594498,0.389717,0.653341,0.432522,0.566508,0.55841,0.757226,0.82788,0.238035,0.510405,0.219907,0
0.242035,0.634352,0.242036,0.568764,0.238658,0.535453,0.638978,0.206765,0.378339,0.697111,0.19688,0.806509,0.586076,0.696468,0.850779,0.260932,0
0.390824,0.940196,0.374469,0.389421,0.353106,0.45285,0.408643,0.256096,0.705764,0.365324,0.646147,0.693422,0.725466,0.769291,0.633044,0.496261,0
0.311296,0.855353,0.321901,0.340895,0.551132,0.366461,0.359403,0.401687,0.551506,0.613473,0.67359,0.550904,0.589553,0.414856,0.581832,0.399745,0
0.329953,0.850316,0.303436,0.426629,0.345052,0.228079,0.565084,0.551106,0.540652,0.441557,0.813658,0.80324,0.788496,0.710674,0.721797,0.393662,0
0.252552,0.713466,0.349889,0.34414,0.34711,0.383585,0.46203,0.238022,0.572825,0.263206,0.682451,0.633767,0.684774,0.474718,0.576045,0.138517,0
0.288728,0.679138,0.451686,0.291223,0.192754,0.571999,0.24443,0.218435,0.447736,0.348115,0.379691,0.505825,0.389811,0.401578,0.458668,0.480652,0
0.244566,0.80121,0.435334,0.263424,0.75234,0.466045,0.754912,0.610216,0.414225,0.391317,0.412078,0.493428,0.338597,0.702924,0.626219,0.477832,1
0.198009,0.75889,0.387316,0.325971,0.783078,0.434734,0.893619,0.771952,0.357541,0.492452,0.503367,0.318323,0.575893,0.705256,0.609925,0.450472,1
0.128809,0.672227,0.228663,0.472362,0.826091,0.478583,0.947016,0.677185,0.524475,0.468416,0.264287,0.361225,0.674984,0.600908,0.665808,0.113834,1
0.112247,0.629409,0.465308,0.205581,0.780518,0.40448,0.769871,0.779707,0.58747,0.329999,0.449489,0.575201,0.402305,0.446165,0.847635,0.351395,1
0.379932,0.934455,0.26686,0.492826,0.410383,0.492235,0.515732,0.334973,0.658139,0.336711,0.530188,0.678436,0.244677,0.013507,0.71541,0.584954,1
0.359675,0.942886,0.25548,0.451466,0.519731,0.332198,0.341777,0.379984,0.531458,0.345441,0.27471,0.518406,0.180813,0.157543,0.731257,0.460018,1
0.340777,0.895963,0.139803,0.592828,0.356427,0.446603,0.561695,0.48016,0.61458,0.452222,0.518017,0.622345,0.502935,0.121396,0.707691,0.371399,1
0.31043,0.844843,0.20148,0.490591,0.512416,0.344215,0.496855,0.39255,0.545294,0.79949,0.41919,0.651659,0.40671,0.373733,0.655524,0.183269,1
0.283989,0.77051,0.244011,0.501935,0.394226,0.538287,0.647438,0.247539,0.633802,0.590385,0.511275,0.826951,0.234146,0.311757,0.661594,0.344343,1
0.351788,0.864294,0.339445,0.390095,0.472626,0.714138,0.759149,0.935841,0.53373,0.437432,0.615411,0.347905,0.626435,0.431809,0.80064,0.49656,1
0.304743,0.801927,0.243826,0.492125,0.437509,0.670791,0.669307,1,0.489284,0.475015,0.792829,0.312907,0.456848,0.512901,0.832096,0.339214,1
0.239828,0.755746,0.151564,0.602303,0.488434,0.577133,0.854805,0.774217,0.455225,0.381868,0.558542,0.556893,0.479692,0.567954,0.756048,0.265151,1
0.206098,0.715667,0.262159,0.448369,0.555624,0.545912,0.780152,0.75279,0.527527,0.168277,0.657401,0.602154,0.383286,0.750877,0.75174,0.204186,1
0.241734,0.729296,0.289114,0.476588,0.518383,0.575267,0.92158,0.873581,0.546686,0.377408,0.328053,0.558924,0.374242,0.539715,0.593093,0.192811,1
0.273073,0.854694,0.158582,0.464102,0.61821,0.411266,0.389023,0.374703,0.422042,0.478258,0.71987,0.384283,0.601788,0.479124,0.676651,0.301185,0
0.224205,0.788026,0.066979,0.619639,0.585364,0.36582,0.297378,0.234642,0.443696,0.57194,0.684893,0.470176,0.321512,0.394941,0.673657,0.357995,0
0.211677,0.780601,0.035052,0.651118,0.612714,0.352342,0.46488,0.378569,0.333105,0.645961,0.736084,0.418572,0.408,0.488125,0.524666,0.584798,0
0.209251,0.785535,0.049968,0.643918,0.6397,0.440375,0.370832,0.063267,0.400645,0.594832,0.467394,0.517965,0.419163,0.848885,0.823012,0.478412,0
0.194609,0.70564,0.131901,0.573452,0.430761,0.599321,0.295489,0.158409,0.556339,0.338942,0.568036,0.765698,0.822173,0.77637,0.66909,0.515727,0
0.40821,1,0.467385,0.265323,0.610734,0.381573,0.435315,0.222549,0.418893,0.273402,0.240161,0.366213,0.219531,0.247382,0.601799,0.332191,0
0.376319,0.968588,0.371891,0.382542,0.505688,0.132747,0.410578,0.347793,0.437757,0.336343,0.216771,0.453121,0.282256,0.049052,0.646226,0.241813,0
0.328831,0.889467,0.317043,0.397087,0.431227,0.256151,0.245498,0.512094,0.287428,0.441745,0.416252,0.412235,0.718082,0.255056,0.640489,0.34041,0
0.294671,0.838454,0.287602,0.442475,0.431031,0.149524,0.235881,0.392443,0.342765,0.431624,0.452078,0.454902,0.645261,0.347089,0.66017,0.316408,0
0.30479,0.809472,0.341478,0.4202,0.39827,0.420899,0.630182,0.133043,0.474849,0.349949,0.644853,0.69369,0.250849,0.373939,0.411173,0.465119,0
