@relation Dataset_T2_16d_CFS_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute original_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_1_0_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_0_mm_3D_glcm_InverseVariance numeric
@attribute log_sigma_1_0_mm_3D_glrlm_LongRunEmphasis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute log_sigma_1_5_mm_3D_gldm_LargeDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_1_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_0_mm_3D_firstorder_Maximum numeric
@attribute log_sigma_2_0_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_0_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glszm_ZoneEntropy numeric
@attribute log_sigma_3_0_mm_3D_firstorder_MeanAbsoluteDeviation numeric
@attribute log_sigma_3_0_mm_3D_glcm_Correlation numeric
@attribute label {0,1}

@data
0.01481,0.649829,0.737623,0.273862,0.484733,0.837347,0.156511,0.08105,0.086247,0.359821,0.23129,0.166526,0.062812,0.539096,0.096839,0.925356,0
0.010235,0.291325,0.797946,0.264582,0.478585,0.702393,0.162807,0.079762,0.115019,0.37912,0.220018,0.225207,0.057126,0.634041,0.083738,0.879953,0
0.013026,0.13175,0.822934,0.263606,0.340702,0.527427,0.1578,0.066623,0.098982,0.49403,0.274311,0.367855,0.048195,0.68727,0.079612,0.763282,0
0.013323,0.227206,0.813951,0.253495,0.316111,0.474916,0.170335,0.092964,0.084548,0.446628,0.220626,0.255059,0.069948,0.368795,0.086509,0.843124,0
0.009579,0.493984,0.611287,0.366449,0.459141,0.49503,0.154536,0.071169,0.105508,0.283113,0.234134,0.117575,0.070681,0.447648,0.097127,0.917953,0
0.003545,0.434457,0.674227,0.103874,0.383929,0.733329,0.175653,0.100423,0.076533,0.413622,0.216123,0.309707,0.150148,0.028725,0.096827,0.761703,0
0.002255,0.345515,0.771803,0.053719,0.401912,0.811076,0.173494,0.089356,0.105627,0.541281,0.243139,0.39528,0.044579,0.135524,0.117606,0.771299,0
0.003885,0.544932,0.733799,0.187031,0.594657,0.825031,0.153356,0.091378,0.09009,0.466578,0.255419,0.278952,0.059741,0.305951,0.092294,0.832723,0
0.002533,0.807255,0.869491,0.082727,0.634372,0.808896,0.15892,0.084272,0.088094,0.538478,0.262436,0.326929,0.052472,0.380957,0.087244,0.882137,0
0.002916,0.780705,0.715727,0.160115,0.539635,0.580326,0.155798,0.110301,0.086477,0.498137,0.266976,0.513063,0.097092,0.337156,0.099017,0.566787,0
0.007208,0.356416,0.664259,0.279825,0.382808,0.489583,0.12566,0.040968,0.078937,0.364754,0.262436,0.300962,0.042058,0.64054,0.116281,0.701359,1
0.011774,0.265128,0.550237,0.511279,0.206364,0.510874,0.113261,0.07679,0.090648,0.5313,0.265652,0.425881,0.038654,0.436565,0.125632,0.69841,1
0.011475,0.242716,0.428124,0.602918,0.271898,0.341886,0.108722,0.045726,0.111668,0.52294,0.269206,0.48771,0.040706,0.598646,0.111732,0.579811,1
